Date,Rank,Title,Artist
2022-06-05,89,Dreams Come True,aespa
2022-06-05,90,인생찬가,임영웅
2022-06-05,91,서랍,10CM
2022-06-05,92,Love story,볼빨간사춘기
2022-06-05,93,연애편지,임영웅
2022-06-05,94,낙하 (with 아이유),AKMU (악뮤)
2022-06-05,95,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
2022-06-05,96,나는 트로트가 싫어요,임창정
2022-06-05,97,어제처럼,폴킴
2022-06-05,98,DON QUIXOTE,세븐틴 (SEVENTEEN)
2022-06-05,99,마지막 인사 (To My First),NCT DREAM
2022-06-05,100,어마어마해,WSG워너비
2022-06-06,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2022-06-06,2,TOMBOY,(여자)아이들
