Date,Rank,Title,Artist
2020-01-05,15,헤어진 우리가 지켜야 할 것들,"양다일, 김나영"
2020-01-05,16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2020-01-05,17,빌었어,창모 (CHANGMO)
2020-01-05,18,사랑이란 멜로는 없어,전상근
2020-01-05,19,안녕,폴킴
2020-01-05,20,십이월 이십오일의 고백,정승환
2020-01-05,21,이 번호로 전화해줘,바이브
2020-01-05,22,새 사랑,송하예
2020-01-05,23,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020-01-05,24,있어줘요,장덕철
2020-01-05,25,"인기 (Feat. 송가인, 챈슬러)",MC몽
2020-01-05,26,2002,Anne-Marie
2020-01-05,27,시든 꽃에 물을 주듯,HYNN (박혜원)
2020-01-05,28,포장마차,황인욱
2020-01-05,29,첫 겨울이니까,"성시경, 아이유"
2020-01-05,30,이별주,황인욱
2020-01-05,31,니 소식,송하예
2020-01-05,32,다시 만날까 봐,V.O.S
2020-01-05,33,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2020-01-05,34,Obsession,EXO
2020-01-05,35,BAND,"창모 (CHANGMO), Hash Swan, 김효은, ASH ISLAND"
2020-01-05,36,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Evan Rachel Wood, Idina Menzel"
2020-01-05,37,시간의 바깥,아이유
2020-01-05,38,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020-01-05,39,불티 (Spark),태연 (TAEYEON)
2020-01-05,40,기억해줘요 내 모든 날과 그때를,거미
2020-01-05,41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
2020-01-05,42,bad guy,Billie Eilish
2020-01-05,43,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원)
2020-01-05,44,워커홀릭,볼빨간사춘기
2020-01-05,45,너를 만나,폴킴
2020-01-05,46,Señorita,"Shawn Mendes, Camila Cabello"
2020-01-05,47,그대라는 시,태연 (TAEYEON)
2020-01-05,48,술이 문제야,"장혜진, 윤민수(바이브)"
2020-01-05,49,잘 살고 있다,V.O.S
2020-01-05,50,가을밤 떠난 너,케이시 (Kassy)
2020-01-05,51,Flower,윤미래
2020-01-05,52,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
2020-01-05,53,숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),태연 (TAEYEON)
